# Tesserae V3 results
#
# session   = 00000005
# source    = ovid.metamorphoses
# target    = statius.achilleid
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis sum in hic ille ego neque tu
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
113	"stat. ach. 1.78"	"caeruleis **obstabat** equis, **sed** rector aquarum"	"ov. met. 15.599"	"**sed** nos **obstitimus**, quamvis coniunctior illo"	"sed; obsto"	9.57
114	"stat. ach. 1.78"	"**caeruleis** obstabat equis, sed rector **aquarum**"	"ov. met. 15.699"	"**caeruleas** despectat **aquas** modicisque per aequor"	"caeruleus; aqua"	9.28
115	"stat. ach. 1.80"	"“**ne** **pete** Dardaniam frustra, Theti, mergere classem:"	"ov. met. 7.507"	"“**ne** **petite** auxilium, sed sumite”, dixit “Athenae;"	"ne-neo; peto"	9.98
116	"stat. ach. 1.80"	"“ne **pete** Dardaniam **frustra**, Theti, mergere classem:"	"ov. met. 9.39"	"Me mea defendit gravitas **frustraque** **petebar**,"	"peto; frustra-frustror"	9.47
117	"stat. ach. 1.81"	"fata **vetant**, ratus ordo **deis** miscere cruentas"	"ov. met. 2.521"	"Esse hominem **vetui**: facta est **dea**. Sic ego poenas"	"dea; ueto"	9.32
118	"stat. ach. 1.81"	"**fata** **vetant**, ratus ordo deis miscere cruentas"	"ov. met. 2.657"	"atque ita “praevertunt” inquit “me **fata**, **vetorque**"	"fatum-for; ueto"	10.00
119	"stat. ach. 1.81"	"**fata** **vetant**, ratus ordo deis miscere cruentas"	"ov. met. 3.546"	"et patrium retinete decus. Si **fata** **vetabant**"	"ueto; fatum-for"	10.00
120	"stat. ach. 1.81"	"fata **vetant**, ratus ordo **deis** miscere cruentas"	"ov. met. 6.348"	"Rustica turba **vetat**. **Dea** sic adfata **vetantes**:"	"ueto; dea"	9.34
121	"stat. ach. 1.86"	"cum tuus Aeacides tepido modo **sanguine** **Teucros**"	"ov. met. 13.705"	"Inde recordati **Teucros** a **sanguine** **Teucri**"	"teucer; sanguis"	9.85
122	"stat. ach. 1.86"	"cum tuus Aeacides tepido modo **sanguine** **Teucros**"	"ov. met. 14.698"	"Viderat a veteris generosam **sanguine** **Teucri**"	"teucer; sanguis"	9.08
123	"stat. ach. 1.89"	"impelletque manu **nostros**, opera **inrita**, muros!"	"ov. met. 1.462"	"**inritare** tua, nec laudes adsere **nostras**.”"	"irrito; noster"	9.24
124	"stat. ach. 1.89"	"impelletque **manu** nostros, **opera** inrita, muros!"	"ov. met. 4.39"	"“utile **opus** **manuum** vario sermone levemus:"	"opus; manus"	9.77
125	"stat. ach. 1.89"	"impelletque **manu** nostros, **opera** inrita, muros!"	"ov. met. 10.254"	"Saepe **manus** **operi** temptantes admovet, an sit"	"opus; manus"	9.17
126	"stat. ach. 1.90"	"Pelea iam desiste **queri** thalamosque **minores**:"	"ov. met. 2.214"	"**Parva** **queror**: magnae pereunt cum moenibus urbes,"	"paruus; queror"	9.34
127	"stat. ach. 1.92"	"cognatisque **utere** fretis: **dabo** tollere fluctus,"	"ov. met. 2.36"	"Phoebe pater, si **das** **usum** mihi nominis huius"	"utor; do"	9.13
128	"stat. ach. 1.92"	"cognatisque utere **fretis**: **dabo** tollere fluctus,"	"ov. met. 4.552"	"“in **freta** reginam” saltumque **datura** moveri"	"do; fretum-fretus"	9.07
129	"stat. ach. 1.92"	"cognatisque utere fretis: **dabo** tollere **fluctus**,"	"ov. met. 11.507"	"Saepe **dat** ingentem **fluctu** latus icta fragorem"	"do; fluctus"	9.60
130	"stat. ach. 1.93"	"**cum** **reduces** Danai nocturnaque signa Caphereus"	"ov. met. 3.150"	"**cum** croceis invecta rotis Aurora **reducet**,"	"cum; reduco"	9.28
131	"stat. ach. 1.93"	"cum reduces **Danai** nocturnaque signa **Caphereus**"	"ov. met. 14.472"	"perpetimur **Danai** cumulumque **Capherea** cladis."	"caphareus; danaus"	9.78
132	"stat. ach. 1.95"	"**Dixerat**, illa **gravi** vultum demissa repulsa,"	"ov. met. 3.331"	"**dicta** Iovis firmat. **Gravius** Saturnia iusto"	"grauis; dico"	9.42
133	"stat. ach. 1.95"	"Dixerat, illa gravi **vultum** **demissa** repulsa,"	"ov. met. 7.133"	"**demisere** metu **vultumque** animumque Pelasgi."	"demitto; uultus"	9.48
134	"stat. ach. 1.95"	"Dixerat, **illa** gravi vultum **demissa** repulsa,"	"ov. met. 10.192"	"marcida **demittant** subito caput **illa** vietum"	"illa; demitto"	9.29
135	"stat. ach. 1.95"	"**Dixerat**, **illa** gravi vultum demissa repulsa,"	"ov. met. 12.217"	"praesignis facie. Felicem **diximus** **illa**"	"illa; dico"	9.92
